SNo.,Flight Name,Flight No.,Source,Destination,Source Name,Destination Name,Start Time,End Time,Total Time,Stops,Price
1,SPICEJET,SG8191,DEL,BLR,New Delhi,Bengaluru,06:15,08:50,2hr 35min,non-stop,6795
2,GO FIRST,G8113,DEL,BLR,New Delhi,Bengaluru,05:50,08:25,2hr 35min,non-stop,6796
3,GO FIRST,G8119,DEL,BLR,New Delhi,Bengaluru,20:30,23:05,2hr 35min,non-stop,6796
4,INDIGO,6E5174,DEL,BLR,New Delhi,Bengaluru,05:15,07:55,2hr 40min,non-stop,6795
5,AIR INDIA,AI504,DEL,BLR,New Delhi,Bengaluru,21:15,23:55,2hr 40min,non-stop,6795
6,AIRASIA INDIA,I5784,DEL,BLR,New Delhi,Bengaluru,16:05,18:45,2hr 40min,non-stop,6796
7,VISTARA,UK807,DEL,BLR,New Delhi,Bengaluru,20:40,23:20,2hr 40min,non-stop,6796
8,INDIGO,6E6233,DEL,BLR,New Delhi,Bengaluru,02:25,05:10,2hr 45min,non-stop,6795
9,AIR INDIA,AI803,DEL,BLR,New Delhi,Bengaluru,06:10,08:55,2hr 45min,non-stop,6795
10,INDIGO,6E772,DEL,BLR,New Delhi,Bengaluru,07:20,10:05,2hr 45min,non-stop,6795
11,INDIGO,6E5169,DEL,BLR,New Delhi,Bengaluru,11:00,13:45,2hr 45min,non-stop,6795
12,INDIGO,6E2839,DEL,BLR,New Delhi,Bengaluru,15:05,17:50,2hr 45min,non-stop,6795
13,INDIGO,6E2015,DEL,BLR,New Delhi,Bengaluru,19:55,22:40,2hr 45min,non-stop,6795
14,INDIGO,6E6177,DEL,BLR,New Delhi,Bengaluru,22:20,01:05,2hr 45min,non-stop,6795
15,INDIGO,6E798,DEL,BLR,New Delhi,Bengaluru,23:15,02:00,2hr 45min,non-stop,6795
16,VISTARA,UK811,DEL,BLR,New Delhi,Bengaluru,06:15,09:00,2hr 45min,non-stop,6796
17,VISTARA,UK815,DEL,BLR,New Delhi,Bengaluru,08:05,10:50,2hr 45min,non-stop,6796
18,AIRASIA INDIA,I5926,DEL,BLR,New Delhi,Bengaluru,09:15,12:00,2hr 45min,non-stop,6796
19,VISTARA,UK817,DEL,BLR,New Delhi,Bengaluru,16:05,18:50,2hr 45min,non-stop,6796
20,INDIGO,6E681,DEL,BLR,New Delhi,Bengaluru,13:00,15:50,2hr 50min,non-stop,6795
21,INDIGO,6E781,DEL,BLR,New Delhi,Bengaluru,16:25,19:15,2hr 50min,non-stop,6795
22,INDIGO,6E654,DEL,BLR,New Delhi,Bengaluru,18:00,20:50,2hr 50min,non-stop,6795
23,SPICEJET,SG143,DEL,BLR,New Delhi,Bengaluru,20:05,22:55,2hr 50min,non-stop,6795
24,AIRASIA INDIA,I5740,DEL,BLR,New Delhi,Bengaluru,08:00,10:50,2hr 50min,non-stop,6796
