SNo.,Flight Name,Flight No.,Source,Start Time,Start Date,Source Name,Destination,End Time,End Date,Destination Name,Total Time,Flight Type,Price
1,AIRASIA INDIA,I55204,BLR,06:40,"Sun, 11 Jul",Bengaluru,MAA,07:30,"Sun, 11 Jul",Chennai,50min,non-stop,3183
2,INDIGO,6E841,BLR,15:20,"Sun, 11 Jul",Bengaluru,MAA,16:10,"Sun, 11 Jul",Chennai,50min,non-stop,3183
3,INDIGO,6E478,BLR,20:10,"Sun, 11 Jul",Bengaluru,MAA,21:05,"Sun, 11 Jul",Chennai,55min,non-stop,3183
4,INDIGO,6E6212,BLR,10:40,"Sun, 11 Jul",Bengaluru,MAA,11:40,"Sun, 11 Jul",Chennai,1hr,non-stop,3183
5,INDIGO,6E356,BLR,17:10,"Sun, 11 Jul",Bengaluru,MAA,18:10,"Sun, 11 Jul",Chennai,1hr,non-stop,3183
6,INDIGO,6E575,BLR,22:00,"Sun, 11 Jul",Bengaluru,MAA,23:00,"Sun, 11 Jul",Chennai,1hr,non-stop,3183
7,VISTARA,UK801,BLR,21:30,"Sun, 11 Jul",Bengaluru,MAA,22:30,"Sun, 11 Jul",Chennai,1hr,non-stop,3184
8,INDIGO,6E6269,BLR,07:10,"Sun, 11 Jul",Bengaluru,MAA,08:15,"Sun, 11 Jul",Chennai,1hr 5min,non-stop,3183
9,INDIGO,6E6825,BLR,08:15,"Sun, 11 Jul",Bengaluru,MAA,09:20,"Sun, 11 Jul",Chennai,1hr 5min,non-stop,3183
10,INDIGO,6E6017,BLR,18:30,"Sun, 11 Jul",Bengaluru,MAA,19:35,"Sun, 11 Jul",Chennai,1hr 5min,non-stop,3183
11,INDIGO,6E541,BLR,09:15,"Sun, 11 Jul",Bengaluru,MAA,10:25,"Sun, 11 Jul",Chennai,1hr 10min,non-stop,3183
12,SPICEJET,SG3466,BLR,20:30,"Sun, 11 Jul",Bengaluru,MAA,21:40,"Sun, 11 Jul",Chennai,1hr 10min,non-stop,3183
